 Frame Index, Frame Time (ms)
1,38.46161
2,38.3264
3,40.4817
4,36.7699
5,48.8376
6,38.6333
7,36.4309
8,48.009
9,36.9309
10,43.3092
11,42.0069
12,44.0695
13,35.0287
14,44.8083
15,39.5976
16,40.8518
17,42.5852
18,44.80811
19,39.5269
20,40.7784
21,41.2454
22,44.9802
23,37.9141
24,43.3047
25,39.227
26,39.9716
27,38.3451
28,42.6494
29,40.9158
30,41.0374
31,40.594
32,39.7081
33,41.3193
34,34.9132
35,40.1022
36,42.242
37,37.9758
38,38.5416
39,43.3293
40,42.3984
41,40.2312
42,42.5832
43,37.3912
44,49.1712
45,46.7367
46,42.4817
47,46.4318
48,34.6241
49,44.3185
50,42.3565
51,40.2383
52,34.1222
53,41.3134
54,47.633
55,40.0106
56,36.8214
57,40.1604
58,47.3152
59,47.5776
60,45.276
61,43.2585
62,44.66961
63,45.0451
64,45.4765
65,45.621
66,45.3092
67,47.7249
68,50.8235
69,49.2749
70,47.3995
71,47.955
72,41.6645
73,43.4893
74,44.6412
75,43.96811
76,46.1253
77,40.5895
78,43.1469
79,50.3319
80,55.919
81,50.9215
82,51.3821
83,54.31461
84,46.3874
85,43.0017
86,42.1319
87,51.493
88,45.1949
89,38.888
90,40.6698
91,48.6333
92,48.2347
93,45.0529
94,50.2064
95,44.2128
96,52.4835
97,46.15611
98,42.7031
99,44.4123
100,41.8605
101,50.5594
102,40.0697
103,55.47931
104,41.6811
105,49.9588
106,39.703
107,48.16
108,46.8337
109,44.2999
110,45.9534
111,42.0575
112,45.2684
113,50.378
114,44.9808
115,46.0645
116,48.6643
117,52.0933
118,49.7457
119,42.1448
120,44.1335
121,53.0272
122,40.7993
123,41.7413
124,41.5347
125,49.8695
126,36.3727
127,38.0174
128,43.7042
129,50.4198
130,47.1686
131,43.3025
132,50.2993
133,46.6574
134,53.5434
135,46.0536
136,43.4053
137,47.6603
138,47.0965
139,53.671
140,49.35011
141,44.8443
142,54.662
143,44.3344
144,41.3656
145,43.2577
146,50.5905
147,38.1227
148,44.9366
149,55.3172
150,47.8479
151,48.6297
152,47.5884
153,46.5183
154,43.57
155,53.6107
156,40.47511
157,42.171
158,49.3277
159,49.8807
160,39.6832
161,43.1055
162,43.2361
163,48.1176
164,50.0413
165,55.6096
166,46.658
167,51.3399
168,53.3586
169,47.1154
170,43.123
171,43.5379
172,48.6914
173,49.4316
174,46.8696
175,44.213
176,44.89161
177,42.8718
178,48.9141
179,41.679
180,43.2455
181,43.2125
182,43.4366
183,43.9703
184,43.0463
185,44.6544
186,50.6014
187,43.3811
188,44.2213
189,40.8809
190,54.6938
191,42.8693
192,46.4486
193,43.43361
194,45.7794
195,46.25
196,46.11411
197,48.8961
198,42.0813
199,46.4057
200,49.2025
201,50.0043
202,42.0987
203,42.7439
204,44.1051
205,44.2272
206,42.5195
207,46.4045
208,42.3995
209,43.7472
210,45.1391
211,48.0214
212,42.5781
213,36.6501
214,44.3605
215,40.3636
216,42.2647
217,41.0984
218,44.8563
219,42.21
220,43.035
221,41.0239
222,40.6219
223,39.4494
224,41.8855
225,41.7765
226,40.6364
227,38.5999
228,41.2624
229,50.4924
230,41.0437
231,43.1518
232,37.3709
233,36.6471
234,37.731
235,41.0299
236,41.8124
237,40.8018
238,47.5414
239,34.7653
240,41.5106
241,34.0826
242,41.9038
243,44.9049
244,40.3215
245,42.1617
246,44.6536
247,43.034
248,39.3729
249,35.6683
250,39.3513
251,39.7827
252,42.2087
253,39.2231
254,38.7335
255,41.4989
256,46.9063
257,51.1047
258,41.9549
259,41.1117
260,47.6706
261,42.7093
262,40.6998
263,37.3834
264,41.1387
265,35.9202
266,42.8014
267,43.5481
268,45.2242
269,43.8736
270,44.1657
271,42.7288
272,52.7522
273,40.2887
274,41.2715
275,43.9987
276,49.14
277,41.0172
278,48.3159
279,40.3673
280,38.8482
281,41.1908
282,35.8444
283,43.3315
284,42.9778
285,44.3473
286,45.4718
287,42.657
288,39.1016
289,41.2453
290,48.3728
291,46.0999
292,41.5372
293,29.4606
294,44.166
295,47.2545
296,44.8053
297,40.8775
298,39.8105
299,38.8927
